suite_dir,run_dir,retention_class,size_bytes,file_count,has_core_artifacts,referenced_by,note
checkpoints/smoke_v4lite,checkpoints/smoke_v4lite/smoke_clean,flow-validation-only,113239,4,best_model.pt;config.json;training_history.pkl,EXPERIMENT_PROGRESS_TRACKER.md;docs/checkpoints_retention_manifest.csv;docs/experiment_full_inventory_zh.md;docs/experiment_stages_overview.md;docs/repo_structure_audit.md,"pure code/protocol smoke at ep=3, no rollout (inventory B.3)"
checkpoints/smoke_v4lite,checkpoints/smoke_v4lite/smoke_clean_v2,flow-validation-only,170165,13,best_model.pt;block_evaluation.json;config.json;heldout_evaluation.json;training_history.pkl,docs/checkpoints_retention_manifest.csv,"pure code/protocol smoke at ep=3, no rollout (inventory B.3)"
checkpoints/smoke_v4lite,checkpoints/smoke_v4lite/smoke_iid_v1,flow-validation-only,170572,13,best_model.pt;block_evaluation.json;config.json;heldout_evaluation.json;training_history.pkl,docs/checkpoints_retention_manifest.csv,"pure code/protocol smoke at ep=3, no rollout (inventory B.3)"
checkpoints/smoke_v4lite,checkpoints/smoke_v4lite/smoke_v4lite_v1,flow-validation-only,170721,13,best_model.pt;block_evaluation.json;config.json;heldout_evaluation.json;training_history.pkl,docs/checkpoints_retention_manifest.csv,"pure code/protocol smoke at ep=3, no rollout (inventory B.3)"
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830,checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed42,evidence-bearing-A,35736260,124,best_model.pt;block_evaluation.json;config.json;heldout_evaluation.json;training_history.pkl,docs/checkpoints_retention_manifest.csv,A-zone catalog-era suite; still cited for diag_damping / bu_only / black-box noise line (R-A rule 2)
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830,checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed43,evidence-bearing-A,35744713,124,best_model.pt;block_evaluation.json;config.json;heldout_evaluation.json;training_history.pkl,docs/checkpoints_retention_manifest.csv,A-zone catalog-era suite; still cited for diag_damping / bu_only / black-box noise line (R-A rule 2)
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830,checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed44,evidence-bearing-A,35742672,124,best_model.pt;block_evaluation.json;config.json;heldout_evaluation.json;training_history.pkl,docs/checkpoints_retention_manifest.csv,A-zone catalog-era suite; still cited for diag_damping / bu_only / black-box noise line (R-A rule 2)
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830,checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed42,evidence-bearing-A,36374280,124,best_model.pt;block_evaluation.json;config.json;heldout_evaluation.json;training_history.pkl,docs/checkpoints_retention_manifest.csv,A-zone catalog-era suite; still cited for diag_damping / bu_only / black-box noise line (R-A rule 2)
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830,checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed43,evidence-bearing-A,36223233,124,best_model.pt;block_evaluation.json;config.json;heldout_evaluation.json;training_history.pkl,docs/checkpoints_retention_manifest.csv,A-zone catalog-era suite; still cited for diag_damping / bu_only / black-box noise line (R-A rule 2)
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830,checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_diag_damping_seed44,evidence-bearing-A,36380252,124,best_model.pt;block_evaluation.json;config.json;heldout_evaluation.json;training_history.pkl,docs/checkpoints_retention_manifest.csv,A-zone catalog-era suite; still cited for diag_damping / bu_only / black-box noise line (R-A rule 2)
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830,checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_no_lift_seed42,evidence-bearing-A,69177612,196,best_model.pt;block_evaluation.json;config.json;heldout_evaluation.json;training_history.pkl,docs/checkpoints_retention_manifest.csv,A-zone catalog-era suite; still cited for diag_damping / bu_only / black-box noise line (R-A rule 2)
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830,checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_no_lift_seed43,evidence-bearing-A,68887921,196,best_model.pt;block_evaluation.json;config.json;heldout_evaluation.json;training_history.pkl,docs/checkpoints_retention_manifest.csv,A-zone catalog-era suite; still cited for diag_damping / bu_only / black-box noise line (R-A rule 2)
