item_id,title,category,status,planned_doc,result_doc,checkpoint_or_catalog_path,last_updated_at,notes
"repo_orientation_docs","Repository orientation and active boundary","documentation","active","README.md; docs/repo_structure_audit.md","EXPERIMENT_PROGRESS_TRACKER.md; docs/repo_structure_audit.md; paper/README.md; paper/drafts/INDEX.md","docs/checkpoints_retention_manifest.csv; docs/checkpoints_png_purge_manifest.csv","2026-08-20 CST (+0800)","Root orientation and active/deprecated/flow-validation boundaries are documented. 2026-08-20 repo-governance round: per-run retention classes now cover all 300 checkpoint run dirs (check retention_class and referenced_by before deleting or citing a run); the rollout PNG purge list is generated but NOT executed (8625 of 8655 plots, 4.84 GB); analysis/section8_current_evidence/ is now version-controlled. Two local working copies: D:/Codes/g3_5_5 for writing, LaTeX and git; the OneDrive path for checkpoints/, data/ and analysis/oc_data_catalog/. Never compile LaTeX under the OneDrive path."
"oc_clean_main_sweeps","OC clean main and ablation sweeps","experiment_result","reported_historical_catalog","docs/oc_followup_experiment_plan.md","docs/oc_model_evaluation_overview.md; docs/oc_results_section_zh.md; docs/oc_experiments_comprehensive_report.md; docs/provenance_audit_phnode_full_clean.md; docs/section8_evidence_merge_plan.md","checkpoints/sweep_oc_all/; analysis/oc_data_catalog/canonical_rollout_summary_long.csv; analysis/section8_current_evidence/aggregate.csv","2026-07-25 CST (+0800)","Catalog-era reports remain historical evidence, not the current paper headline. The old phnode_qforce overall and ablate_no_lift family rankings are scoped to catalog rows; phnode_full clean seed42/46 are stale_environment_drift. Current B-region clean evidence uses phnode_full = 0.6767 m (N=5), ablate_no_lift = 0.8288 m (N=4 after one disclosed reproducible training failure), and phnode_qforce = 3.7564 m."
"oc_original_noisy_sweep","Original OC noisy-IC sweep","experiment_result","reported_superseded","docs/oc_followup_experiment_plan.md","docs/oc_experiments_comprehensive_report.md","checkpoints/sweep_oc_all_noise/","2026-04-25 11:50:10 CST (+0800)","Initial noisy conclusion is superseded by P1-1 and P1-2 follow-up results."
"oc_p1_1_noisy_extra_seeds","P1-1 noisy extra seeds 42/46/47","experiment_result","reported_superseded_by_t2","docs/oc_followup_experiment_plan.md","docs/oc_followup_results_p1_p2.md; docs/provenance_audit_phnode_full_clean.md; paper/README.md","checkpoints/sweep_oc_main_noise_nominal_train_remus100_dr_extra_42-46-47/; checkpoints/sweep_oc_key_ablation_noise_nominal_train_remus100_dr_extra_42-46-47/; analysis/section8_current_evidence/aggregate.csv","2026-07-25 CST (+0800)","Completed historical P1 evidence. The framing that noisy training fixes phnode_full seed46 is stale because the clean failure was an environment artifact. The earlier claim that ablate_no_mass_prior is a stable noisy-training beneficiary is superseded by matched T2 evidence: clean/iid/v4lite clean-eval means are 1.2966/1.3471/1.2806 m, showing no systematic net gain."
"oc_p1_2_clean_matched_eval","P1-2 clean-trained matched noisy rollout evaluation","experiment_result","reported","docs/oc_followup_experiment_plan.md","docs/oc_followup_results_p1_p2.md","checkpoints/p1_2_clean_matched_eval_live_20260413_124225.log; analysis/oc_data_catalog/rollout_run_registry.csv","2026-04-25 11:50:10 CST (+0800)","Completed and reported. Shows noisy training is model-dependent rather than uniformly beneficial."
"oc_data_catalog","OC experiment data catalog and canonical views","data_catalog","implemented","docs/oc_data_catalog_plan.md","docs/oc_data_catalog_dictionary.md; docs/oc_result_selection_policy.md; docs/oc_catalog_template_usage.md","analysis/oc_data_catalog/","2026-04-25 11:50:10 CST (+0800)","Catalog has raw tables, annotation layer, rollout registry, and canonical rollout views."
"noise_profile_interface","Profile-based noisy-IC interface","implementation","implemented","docs/noise_model_design.md; docs/noise_design_v3_remus100_reference_grounded.md","docs/noise_cli_parameter_reference.md; docs/noise_cli_command_templates.md; docs/noise_experiment_runbook.md","train_utils.py; train_auv_hamnode.py; evaluate_rollout_benchmark.py","2026-04-25 11:50:10 CST (+0800)","IC-only profile workflow is implemented. remus100_dr is current default semantics."
"current_bias_remus100_ins","current_bias_eval and remus100_ins extension interface","implementation","implemented_no_formal_result","docs/noise_design_v3_remus100_reference_grounded.md; docs/noise_experiment_runbook.md","docs/noise_cli_parameter_reference.md","train_utils.py; train_auv_hamnode.py; evaluate_rollout_benchmark.py","2026-04-25 11:50:10 CST (+0800)","Interface is available but no formal OC + remus100_ins result report was found."
"v4_lite_protocol","v4-lite trajectory-consistent noisy IC protocol","protocol","decision_complete","docs/noise_design_v4_lite_traj_consistent_ic.md; docs/v4_lite_protocol_spec.md","docs/phase1a_oc_v4lite_cleanrun_v1_report.md; docs/section8_evidence_merge_plan.md; paper/README.md","train_utils.py; train_auv_hamnode.py; evaluate_rollout_benchmark.py; scripts/run_phase1a_oc_v4lite.sh; analysis/section8_current_evidence/aggregate.csv","2026-07-25 CST (+0800)","Protocol implementation and the five-seed decision package are complete. iid and v4-lite are approximately equivalent for phnode_full and ablate_no_mass_prior (about 5% or less), while ablate_no_lift and phnode_qforce are explicit 26% and 40% exceptions. The evidence does not support claiming v4-lite is a superior final protocol."
"v4_lite_smoke_probe","v4-lite smoke and probe runs","flow_validation","flow_validation_only","docs/phase1_realistic_validation_plan.md","checkpoints/sweep_oc_phase1_probe_v4lite_20260423_180908/experiment_report.md","checkpoints/smoke_v4lite/; checkpoints/sweep_oc_phase1_probe_v4lite_20260423_180908/","2026-04-25 11:50:10 CST (+0800)","Run products exist but are flow-validation-only and should not be cited as formal model evidence."
